task_tag ,cluster                                                     ,created_at                       ,started_at ,completed_at                     ,failures_during_execution ,retries_before_aborting ,fault_tolerance_technology_label ,checkpoint_strategy_label ,task_completed_successfully ,time_spent_spawning_cluster ,time_spent_setting_up_task ,time_spent_checkpointing ,time_spent_restoring_cluster ,time_spent_executing_task ,total_time_spent
exp 4-1  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.426195+00:00 ,           ,2024-02-15 03:07:53.543002+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         358 ,                      146 ,             903
exp 6-1  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.485910+00:00 ,           ,2024-02-15 04:25:39.324273+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         299 ,                      157 ,             855
exp 6-2  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.490536+00:00 ,           ,2024-02-15 04:33:25.241842+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         297 ,                      152 ,             848
exp 6-3  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.495495+00:00 ,           ,2024-02-15 04:41:26.332920+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        13 ,                       0 ,                         305 ,                      158 ,             862
exp 6-4  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.500895+00:00 ,           ,2024-02-15 04:49:49.300564+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        14 ,                       0 ,                         327 ,                      157 ,             884
exp 6-5  ,aws-us-east-1c-8x-t3.2xlarge-spot-efs-23-52-44--14-02-2024  ,2024-02-15 02:59:12.506448+00:00 ,           ,2024-02-15 04:58:59.351831+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        386 ,                        14 ,                       0 ,                         379 ,                      153 ,             932
exp 19-2 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.583329+00:00 ,           ,2024-02-15 21:44:35.834397+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         293 ,                       89 ,             729
exp 19-3 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.595439+00:00 ,           ,2024-02-15 21:51:21.793725+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         301 ,                       87 ,             735
exp 19-4 ,aws-us-east-1c-4x-i3.2xlarge-spot-efs-18-24-56--15-02-2024  ,2024-02-15 21:31:16.605035+00:00 ,           ,2024-02-15 21:59:16.100721+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        334 ,                        13 ,                       0 ,                         364 ,                       93 ,             804
exp 7-2  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.671513+00:00 ,           ,2024-02-15 05:24:22.517075+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         433 ,                       83 ,             857
exp 7-3  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.675628+00:00 ,           ,2024-02-15 05:30:17.616883+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         255 ,                       83 ,             679
exp 7-4  ,aws-us-east-1c-4x-c5.2xlarge-spot-efs-02-00-47--15-02-2024  ,2024-02-15 05:06:17.680658+00:00 ,           ,2024-02-15 05:38:04.624441+00:00 ,                        0 ,                      3 ,SCR                              ,SCR                       ,True                        ,                        328 ,                        13 ,                       0 ,                         374 ,                       76 ,             791
