instance_type,nodes,execution_time_in_seconds,is_spot,restart_time
t3.2xlarge,1,309,true,0
t3.2xlarge,2,177,true,0
t3.2xlarge,4,115,true,0
t3.2xlarge,8,110,true,0
c5.2xlarge,1,274,true,0
c5.2xlarge,2,171,true,0
c5.2xlarge,4,120,true,0
c5.2xlarge,8,97,true,0
i3.2xlarge,1,233,true,0
i3.2xlarge,2,146,true,0
i3.2xlarge,4,121,true,0
i3.2xlarge,8,82,true,0
vhp-8c-16gb,1,221,true,0
vhp-8c-16gb,2,121,true,0
vhp-8c-16gb,4,81,true,0
vhp-8c-16gb,8,86,true,0
vbm-6c-32gb,1,221,true,0
vbm-6c-32gb,2,78,true,0
vbm-6c-32gb,4,74,true,0
vbm-6c-32gb,8,60,true,0
r6idn.16xlarge,1,60,true,0
