cluster_config,nodes,failures,base_execution_time,is_spot,is_fsx,restart_time
on_demand,4,0,1150,false,false,0
on_demand,4,1,1150,false,false,0
on_demand,4,4,1150,false,false,0
on_demand,4,8,1150,false,false,0
on_demand,4,12,1150,false,false,0
on_demand,4,24,1150,false,false,0
spot,4,0,1150,true,false,46
spot,4,1,1150,true,false,46
spot,4,4,1150,true,false,46
spot,4,8,1150,true,false,46
spot,4,12,1150,true,false,46
spot,4,24,1150,true,false,46
efa,4,0,1126,true,false,43
efa,4,1,1126,true,false,43
efa,4,4,1126,true,false,43
efa,4,8,1126,true,false,43
efa,4,12,1126,true,false,43
efa,4,24,1126,true,false,43
fsx,4,0,1116,true,true,33
fsx,4,1,1116,true,true,33
fsx,4,4,1116,true,true,33
fsx,4,8,1116,true,true,33
fsx,4,12,1116,true,true,33
fsx,4,24,1116,true,true,33
