cluster_config,nodes,execution_time,is_spot,is_fsx,restart_time
fisica_01,1,389,false,false,0
fisica_01,1,390,false,false,0
fisica_01,1,388,false,false,0
fisica_01,2,370,false,false,0
fisica_01,2,373,false,false,0
fisica_01,2,367,false,false,0
fisica_01,3,381,false,false,0
fisica_01,3,383,false,false,0
fisica_01,3,379,false,false,0
fisica_01,4,377,false,false,0
fisica_01,4,378,false,false,0
fisica_01,4,376,false,false,0
on_demand,1,439,false,false,0
on_demand,1,440,false,false,0
on_demand,1,438,false,false,0
on_demand,2,426,false,false,0
on_demand,2,429,false,false,0
on_demand,2,423,false,false,0
on_demand,3,426,false,false,0
on_demand,3,427,false,false,0
on_demand,3,428,false,false,0
on_demand,4,429,false,false,0
on_demand,4,428,false,false,0
on_demand,4,430,false,false,0
spot,1,448,true,false,0
spot,1,449,true,false,0
spot,1,447,true,false,0
spot,2,444,true,false,0
spot,2,438,true,false,0
spot,2,438,true,false,0
spot,3,429,true,false,0
spot,3,430,true,false,0
spot,3,434,true,false,0
spot,4,422,true,false,0
spot,4,423,true,false,0
spot,4,425,true,false,0
efa,1,450,true,false,0
efa,1,451,true,false,0
efa,1,452,true,false,0
efa,2,447,true,false,0
efa,2,445,true,false,0
efa,2,446,true,false,0
efa,3,435,true,false,0
efa,3,436,true,false,0
efa,3,435,true,false,0
efa,4,425,true,false,0
efa,4,425,true,false,0
efa,4,426,true,false,0
fsx,1,460,true,true,0
fsx,1,462,true,true,0
fsx,1,465,true,true,0
fsx,2,446,true,true,0
fsx,2,441,true,true,0
fsx,2,442,true,true,0
fsx,3,445,true,true,0
fsx,3,447,true,true,0
fsx,3,447,true,true,0
fsx,4,437,true,true,0
fsx,4,438,true,true,0
fsx,4,446,true,true,0
