containerized,nodes,execution_time
false,1,365
false,1,367
false,1,365
false,1,368
false,1,369
true,1,372
true,1,373
true,1,374
true,1,373
true,1,371
false,2,201
false,2,203
false,2,205
false,2,208
false,2,202
true,2,202
true,2,205
true,2,208
true,2,210
true,2,212
false,4,153
false,4,158
false,4,159
false,4,160
false,4,161
true,4,158
true,4,160
true,4,159
true,4,161
true,4,161
false,8,111
false,8,112
false,8,114
false,8,112
false,8,116
true,8,114
true,8,115
true,8,115
true,8,116
true,8,117
false,16,190
false,16,198
false,16,203
false,16,200
false,16,199
true,16,201
true,16,208
true,16,209
true,16,205
true,16,211
