containerized,nodes,execution_time
false,1,566
false,1,567
false,1,560
false,1,561
false,1,563
true,1,579
true,1,580
true,1,576
true,1,576
true,1,575
false,2,276
false,2,276
false,2,278
false,2,278
false,2,274
true,2,275
true,2,279
true,2,281
true,2,283
true,2,272
false,4,172
false,4,176
false,4,180
false,4,181
false,4,183
true,4,181
true,4,181
true,4,180
true,4,180
true,4,176
false,8,107
false,8,109
false,8,110
false,8,112
false,8,113
true,8,110
true,8,112
true,8,113
true,8,115
true,8,121
false,16,101
false,16,98
false,16,98
false,16,96
false,16,95
true,16,99
true,16,97
true,16,97
true,16,102
true,16,100
