containerized,nodes,execution_time
false,1,1210
false,1,1209
false,1,1219
false,1,1214
false,1,1210
true,1,1201
true,1,1194
true,1,1197
true,1,1208
true,1,1210
false,2,653
false,2,652
false,2,653
false,2,653
false,2,655
true,2,669
true,2,667
true,2,665
true,2,665
true,2,663
false,4,396
false,4,397
false,4,398
false,4,401
false,4,398
true,4,401
true,4,404
true,4,398
true,4,400
true,4,400
false,8,411
false,8,412
false,8,413
false,8,418
false,8,412
true,8,423
true,8,422
true,8,417
true,8,418
true,8,420
false,16,612
false,16,603
false,16,607
false,16,604
false,16,604
true,16,615
true,16,615
true,16,613
true,16,615
true,16,612
