containerized,nodes,execution_time
false,1,241
false,1,245
false,1,242
false,1,245
false,1,243
true,1,246
true,1,249
true,1,247
true,1,248
true,1,251
false,2,171
false,2,170
false,2,168
false,2,171
false,2,172
true,2,172
true,2,174
true,2,176
true,2,172
true,2,173
false,4,133
false,4,135
false,4,132
false,4,133
false,4,137
true,4,132
true,4,133
true,4,134
true,4,133
true,4,134
false,8,165
false,8,164
false,8,168
false,8,163
false,8,161
true,8,169
true,8,167
true,8,165
true,8,171
true,8,172
false,16,184
false,16,186
false,16,187
false,16,190
false,16,189
true,16,183
true,16,185
true,16,182
true,16,184
true,16,18
